title,genres_clean,companies_names,director
until the end of the world,"Thriller, Drama, Science Fiction, Action","Village Roadshow Pictures, Argos Films, Warner Bros., Road Movies Filmproduktion, Wim Wenders Stiftung",Wim Wenders
when harry met sally...,"Comedy, Romance, Drama","Castle Rock Entertainment, Nelson Entertainment",Rob Reiner
i shot a man in vegas,no register,no register,Keoni Waxman
parallel sons,no register,no register,John G. Young
hype!,"Documentary, Music",Helvey-Pray Production,Doug Pray
santa with muscles,"Family, Comedy","Hit Entertainment, Cabin Fever Entertainment, Cineplex Odeon Films",John Murlowski
female perversions,"Drama, Romance","Degeto Film, Kinowelt Filmproduktion, Mindy Affrime",Susan Streitfeld
mad dog time,"Drama, Action, Comedy, Crime",Bruin Grip Services,Larry Bishop
breathing room,"Romance, Comedy",Eureka Pictures,Jon Sherman
paris was a woman,Documentary,no register,Greta Schiller
i'm not rappaport,Comedy,Greenestreet Films,Herb Gardner
blue juice,"Comedy, Romance",Skreba Films,Carl Prechezer
kids of survival,no register,no register,no register
alien³,"Science Fiction, Action, Horror","Twentieth Century Fox Film Corporation, Brandywine Productions",David Fincher
an american werewolf in london,"Horror, Comedy","Universal Pictures, Guber/Peters Company, American Werewolf Inc., Lyncanthrope Films",John Landis
amityville: it's about time,Horror,"Steve White Productions, VPS Studios",Tony Randel
amityville 3-d,"Horror, Thriller",De Laurentiis Entertainment Group (DEG),Richard Fleischer
amityville: dollhouse,Horror,"Zeta Entertainment, Promark Entertainment Group, Spectacor Films",Steve White
amityville: a new generation,Horror,A. Ninety-Three Productions,John Murlowski
amityville ii: the possession,Horror,"Dino De Laurentiis Company, Media Transactions",Damiano Damiani
the amityville horror,"Drama, Horror, Thriller",American International Pictures (AIP),Stuart Rosenberg
the amityville curse,Horror,"Allegro Films, CFCF-TV",Tom Bery
blood for dracula,Horror,"Compagnia Cinematografica Champion, Andy Warhol Productions",Paul Morrissey
april fool's day,"Horror, Mystery","Paramount Pictures, Hometown Films, YCTM",Fred Walton
audrey rose,"Fantasy, Drama, Horror, Thriller",Sterobcar Productions,Robert Wise
the believers,"Crime, Drama, Horror, Mystery, Thriller","Orion Pictures, Orion Pictures Corporation",John Schlesinger
the birds,Horror,Alfred J. Hitchcock Productions,Alfred Hitchcock
the blob,"Horror, Science Fiction","Paramount Pictures, Tonylyn Productions",Irvin S. Yeaworth Jr.
blood beach,"Science Fiction, Horror, Comedy","Compass International Pictures, Empress Film Production Corporation",Jeffrey Bloom
body parts,"Horror, Thriller",Vista Street Entertainment,Eric Red
the body snatcher,"Thriller, Horror",RKO Radio Pictures,Robert Wise
dracula,"Romance, Horror","American Zoetrope, Columbia Pictures Corporation, Osiris Films",Francis Ford Coppola
bride of frankenstein,"Horror, Science Fiction",Universal Pictures,James Whale
burnt offerings,Horror,"United Artists, Produzioni Europee Associati (PEA), Dan Curtis Productions",Dan Curtis
candyman,"Drama, Horror, Thriller","Propaganda Films, TriStar Pictures, PolyGram Filmed Entertainment",Bernard Rose
cape fear,"Crime, Thriller","Universal Pictures, Amblin Entertainment, Cappa Productions, Tribeca Productions",Martin Scorsese
cape fear,"Drama, Thriller",Melville-Talbot Productions,J. Lee Thompson
carrie,"Horror, Thriller",United Artists,Brian De Palma
cat people,"Drama, Fantasy, Horror, Thriller","Universal Pictures, RKO Pictures",Paul Schrader
a nightmare on elm street,Horror,"New Line Cinema, Smart Egg Pictures",Wes Craven
nosferatu,"Fantasy, Horror","Jofa Atelier, Prana-Film GmbH",F.W. Murnau
vampire in venice,Horror,"Reteitalia, Scena Film",Augusto Caminito
the omen,"Horror, Thriller","Twentieth Century Fox Film Corporation, Mace Neufeld Productions",Richard Donner
blood and wine,"Crime, Drama, Thriller","Fox Searchlight Pictures, Marmont Productions, Blood & Wine Productions, Majestic Films International",Bob Rafelson
albino alligator,"Crime, Drama, Thriller","Miramax Films, Albino Alligator Productions",Kevin Spacey
the mirror has two faces,"Comedy, Drama, Romance","TriStar Pictures, Phoenix Pictures",Barbra Streisand
breaking the waves,"Drama, Romance","Trust Film, Danish Film Institute",Lars von Trier
nightwatch,"Action, Drama, Horror, Mystery, Thriller",Michael Obel Productions,Ole Bornedal
star trek: first contact,"Science Fiction, Action, Adventure, Thriller","Paramount Pictures, Digital Image Associates",Jonathan Frakes
shine,Drama,"Fine Line Features, Australian Film Finance Corporation (AFFC), Film Victoria, South Australian Feature Film Company",Scott Hicks
sling blade,Drama,Miramax Films,Billy Bob Thornton
jingle all the way,"Family, Comedy","Twentieth Century Fox Film Corporation, 1492 Pictures",Brian Levant
identification of a woman,"Romance, Drama",no register,Michelangelo Antonioni
paradise lost: the child murders at robin hood hills,"Documentary, Drama",no register,Joe Berlinger
the preacher's wife,"Fantasy, Drama, Comedy, Science Fiction, Romance, Family",Touchstone Pictures,Penny Marshall
zero kelvin,"Drama, Thriller","Sandrews, Norsk Film",Hans Petter Moland
ridicule,"Comedy, Drama, Romance",Epithète Films,Patrice Leconte
the crucible,"Drama, History",Twentieth Century Fox Film Corporation,Nicholas Hytner
101 dalmatians,"Comedy, Family","Walt Disney Pictures, Great Oaks Entertainment",Stephen Herek
the forbidden christ,Drama,no register,Curzio Malaparte
i can't sleep,"Drama, Mystery","Pyramide Productions, M6 Films, Arena Films, Vega Film, Agora Films, France 3 Cinema, Orsans, Les Films de Mindif",Claire Denis
die hard 2,"Action, Thriller","Twentieth Century Fox Film Corporation, Gordon Company, Silver Pictures",Renny Harlin
star trek: the motion picture,"Science Fiction, Adventure, Mystery",Paramount Pictures,Robert Wise
star trek vi: the undiscovered country,"Science Fiction, Action, Adventure, Thriller",Paramount Pictures,Nicholas Meyer
star trek v: the final frontier,"Science Fiction, Action, Adventure, Thriller",Paramount Pictures,William Shatner
star trek ii: the wrath of khan,"Action, Adventure, Science Fiction, Thriller",Paramount Pictures,Nicholas Meyer
star trek iii: the search for spock,"Science Fiction, Action, Adventure, Thriller",Paramount Pictures,Leonard Nimoy
star trek iv: the voyage home,"Science Fiction, Adventure",Paramount Pictures,Leonard Nimoy
batman returns,"Action, Fantasy","PolyGram Filmed Entertainment, Warner Bros.",Tim Burton
young guns,"Crime, Action, Adventure, Drama, Western","Twentieth Century Fox Film Corporation, Morgan Creek Productions",Christopher Cain
young guns ii,"Western, Adventure",Morgan Creek Productions,Geoff Murphy
grease,Romance,"Paramount Pictures, Robert Stigwood Organization (RSO)",Randal Kleiser
grease 2,"Comedy, Drama, Family, Music, Romance",Paramount Pictures,Patricia Birch
marked for death,"Action, Thriller","Twentieth Century Fox Film Corporation, Steamroller Productions, Victor & Grais Productions",Dwight H. Little
adrenalin: fear the rush,"Action, Science Fiction, Thriller",Filmwerks,Albert Pyun
the substance of fire,Drama,Miramax,Daniel J. Sullivan
under siege,"Action, Thriller","Regency Enterprises, Alcor Films, Canal+, Warner Bros.",Andrew Davis
terror in a texas town,"Action, Western",Seltzer Films,Joseph H. Lewis
jaws,"Horror, Thriller, Adventure","Universal Pictures, Zanuck/Brown Productions",Steven Spielberg
jaws 2,"Horror, Thriller",Universal Pictures,Jeannot Szwarc
jaws 3-d,"Thriller, Horror","Universal Pictures, Alan Landsburg Productions, MCA  Theatricals",Joe Alves
my fellow americans,"Comedy, Drama","Warner Bros., Storyline Entertainment, Peters Entertainment",Peter Segal
mars attacks!,"Comedy, Fantasy, Science Fiction",Tim Burton Productions,Tim Burton
citizen ruth,"Drama, Comedy","Miramax Films, Independent Pictures (II)",Alexander Payne
jerry maguire,"Comedy, Drama, Romance","Gracie Films, TriStar Pictures",Cameron Crowe
raising arizona,"Comedy, Crime","Twentieth Century Fox Film Corporation, Circle Films",Joel Coen
tin men,"Comedy, Drama","Touchstone Pictures, Silver Screen Partners II",Barry Levinson
sneakers,"Comedy, Crime, Drama",Universal Pictures,Phil Alden Robinson
bastard out of carolina,Drama,no register,Anjelica Huston
in love and war,"Drama, Romance","New Line Cinema, Dimitri Villard Productions",Richard Attenborough
marvin's room,Drama,"Miramax Films, Scott Rudin Productions, Tribeca Productions",Jerry Zaks
somebody is waiting,Drama,Redhead Productions,Martin Donovan
ghosts of mississippi,"History, Drama","Columbia Pictures, Castle Rock Entertainment",Rob Reiner
night falls on manhattan,"Drama, Crime","Paramount Pictures, Spelling Films",Sidney Lumet
beavis and butt-head do america,"Animation, Comedy","Paramount Pictures, Geffen Pictures, MTV Films",Mike Judge
la cérémonie,"Drama, Thriller","Prokino Filmproduktion, Zweites Deutsches Fernsehen (ZDF), Olga Film GmbH, MK2 Productions",Claude Chabrol
scream,"Crime, Horror, Mystery","Woods Entertainment, Dimension Films",Wes Craven
the last of the mohicans,"Action, Adventure, Drama, History, Romance, War",Morgan Creek Productions,Michael Mann
michael,"Comedy, Drama, Fantasy","Turner Pictures, Warner Bros., Alphaville Films",Nora Ephron
the evening star,"Drama, Romance, Family, Comedy","Paramount Pictures, Rysher Entertainment",Robert Harling
hamlet,Drama,"Castle Rock Entertainment, Turner Pictures (I)",Kenneth Branagh
some mother's son,"Drama, History","Castle Rock Entertainment, Hell's Kitchen Films",Terry George
the whole wide world,"Drama, Romance",no register,Dan Ireland
mother,Comedy,"Paramount Pictures, Scott Rudin Productions",Albert Brooks
thieves,"Romance, Crime, Drama","Les Films Alain Sarde, Canal+, D.A. Films, Centre National de la Cinématographie (CNC)",André Téchiné
evita,"History, Drama, Music","Hollywood Pictures, Cinergi Pictures Entertainment",Alan Parker
the portrait of a lady,"Drama, Romance","Propaganda Films, Polygram Filmed Entertainment",Jane Campion
walkabout,"Adventure, Drama","Si Litvinoff Film Production, Max L. Raab Productions",Nicolas Roeg
message to love: the isle of wight festival,"Documentary, Music",no register,Murray Lerner
murder at 1600,"Action, Drama, Mystery, Thriller, Crime","Regency Enterprises, Kopelson Entertainment, Warner Bros., 1600 Limited Partnership",Dwight H. Little
hearts and minds,"Drama, Thriller, Documentary, Romance, Foreign",no register,Ralph Ziman
inside,"Crime, Drama, TV Movie","Elkins Entertainment, Film Afrika Worldwide, Logo Entertainment",Arthur Penn
fierce creatures,"Comedy, Romance","Universal Pictures, Jersey Films, Fish Productions",Fred Schepisi
zeus & roxanne,"Action, Adventure, Comedy, Family, Romance",Rysher Entertainment,George T. Miller
turbulence,"Action, Thriller, Crime","Metro-Goldwyn-Mayer (MGM), Rysher Entertainment",Robert Butler
angel baby,Drama,"Astral Films, Australian Film Commission, The",Michael Rymer
first strike,"Action, Adventure, Comedy, Crime, Drama, Thriller",Golden Harvest Company,Stanley Tong
underworld,"Drama, Action, Comedy, Thriller",no register,Roger Christian
beverly hills ninja,"Action, Comedy","TriStar Pictures, Motion Picture Corporation of America",Dennis Dugan
metro,"Action, Adventure, Comedy, Crime, Thriller","Caravan Pictures, Touchstone Pictures",Thomas Carter
the machine,"Horror, Thriller, Science Fiction",no register,François Dupeyron
falling in love again,"Drama, Romance",O.T.A. Productions,Steven Paul
the cement garden,Drama,"Zweites Deutsches Fernsehen (ZDF), Neue Constantin Film, Laurentic Film Productions, Torii Production",Andrew Birkin
dante's peak,"Action, Adventure, Thriller","Universal Pictures, Pacific Western",Roger Donaldson
amos & andrew,"Action, Comedy","Columbia Pictures, New Line Cinema, Castle Rock Entertainment",E. Max Frye
benny & joon,"Comedy, Drama, Romance","Roth-Arnold Productions, Metro-Goldwyn-Mayer (MGM)",Jeremiah S. Chechik
prefontaine,"Drama, Romance",Hollywood Pictures,Steve James
a tickle in the heart,Documentary,no register,Stefan Schwietert
mchale's navy,"Action, Comedy, Romance","Universal Pictures, The Bubble Factory, Sheinberg Productions",Bryan Spicer
kolya,"Music, Drama, Comedy","Pandora Cinema, Portobello Pictures, Ceská Televize, Biograf Jan Svěrák, CinemArt, Fonds Eurimages du Conseil de l'Europe, Centre National de la Cinématographie (CNC), Space Films, The Czech Republic State Fund for Support and Development of Cinematography",Jan Svěrák
gridlock'd,"Crime, Drama, Comedy",PolyGram Filmed Entertainment,Vondie Curtis-Hall
fire on the mountain,Documentary,no register,no register
waiting for guffman,"Music, Comedy","Sony Pictures Classics, Castle Rock Entertainment, Pale Morning Dun, All Night Productions",Christopher Guest
prisoner of the mountains,"Drama, War",no register,Sergei Bodrov Jr.
the beautician and the beast,"Comedy, Romance",Paramount Pictures,Ken Kwapis
suburbia,"Comedy, Drama","Castle Rock Entertainment, Detour Filmproduction",Richard Linklater
hotel de love,"Comedy, Foreign, Romance","Village Roadshow, Pratt FIlms",Craig Rosenberg
the pest,"Action, Comedy","TriStar Pictures, The Bubble Factory",R. Paul Miller
fools rush in,"Drama, Comedy, Romance",Columbia Pictures,Andy Tennant
touch,"Action, Comedy, Drama, Foreign, Romance",United Artists,Paul Schrader
absolute power,"Crime, Drama, Thriller","Columbia Pictures, Castle Rock Entertainment, Malpaso Productions",Clint Eastwood
that darn cat,"Comedy, Family",Walt Disney Pictures,Bob Spiers
vegas vacation,Comedy,"Jerry Weintraub Productions, Warner Bros.",Stephen Kessler
unforgotten: twenty-five years after willowbrook,no register,no register,no register
that old feeling,"Comedy, Drama, Romance","Universal Pictures, Boy of the Year, All Girl Productions, The Bubble Factory",Carl Reiner
lost highway,"Drama, Thriller, Mystery","Ciby 2000, October Films, Asymmetrical Productions, Lost Highway Productions",David Lynch
rosewood,"Drama, History","New Deal Productions, Warner Bros., Peters Entertainment",John Singleton
donnie brasco,"Crime, Drama, Thriller","TriStar Pictures, Mark Johnson Productions, Phoenix Pictures, Baltimore Pictures",Mike Newell
booty call,Comedy,Columbia Pictures,Jeff Pollack
rhyme & reason,Documentary,no register,Peter Spirer
boys life 2,"Drama, Romance",Stand See,Mark Christopher
city of industry,"Crime, Thriller, Drama","Orion Pictures, Largo Entertainment",John Irvin
best men,"Comedy, Romance","Orion Pictures, The Rank Organisation, Motion Picture Corporation of America (MPCA)",Tamra Davis
jungle 2 jungle,"Comedy, Family",Walt Disney Pictures,John Pasquin
kama sutra - a tale of love,"Drama, History, Romance","Mirabai Films, NDF International",Mira Nair
private parts,"Comedy, Drama","Paramount Pictures, Rysher Entertainment",Betty Thomas
love jones,"Comedy, Drama, Romance","New Line Cinema, Addis Wechsler Pictures",Theodore Witcher
the saint,"Thriller, Action, Romance, Science Fiction, Adventure","Paramount Pictures, Mace Neufeld Productions, Rysher Entertainment",Phillip Noyce
smilla's sense of snow,"Action, Crime, Drama, Mystery, Thriller","Fox Searchlight Pictures, Bavaria Film",Bille August
the van,"Comedy, Drama",Fox Searchlight Pictures,Stephen Frears
